F	X	Y	Z	W	P	R
3.498	-20.718	3.123	0.131	0.10649	0.7066	0
3.504	-20.958	1.046	0.131	0.03567	0.71478	0
3.509	-20.99	-1.048	0.131	-0.03572	0.71587	0
3.514	-20.813	-3.137	0.132	-0.10698	0.70984	0
3.518	-20.427	-5.202	0.132	-0.1774	0.69668	0
3.522	-19.838	-7.22	0.133	-0.24625	0.67658	0
3.528	-19.049	-9.174	0.133	-0.31286	0.64968	0
3.532	-18.068	-11.042	0.133	-0.37657	0.61623	0
3.538	-16.904	-12.804	0.134	-0.43669	0.57651	0
3.542	-15.569	-14.445	0.134	-0.49266	0.53097	0
3.544	-14.074	-15.948	0.135	-0.5439	0.48	0
3.553	-12.435	-17.296	0.135	-0.58988	0.42409	0
3.559	-10.667	-18.475	0.135	-0.63009	0.36378	0
3.565	-8.787	-19.474	0.136	-0.66418	0.29969	0
3.57	-6.815	-20.283	0.136	-0.69176	0.23241	0
3.576	-4.768	-20.892	0.137	-0.71252	0.16262	0
3.581	-2.668	-21.293	0.137	-0.72622	0.09101	0
3.586	-0.536	-21.485	0.137	-0.73277	0.01828	0
3.591	1.609	-21.464	0.138	-0.73204	-0.05486	0
3.595	3.743	-21.229	0.138	-0.72401	-0.12766	0
3.6	5.847	-20.78	0.139	-0.70872	-0.19939	0
3.604	7.898	-20.125	0.139	-0.68636	-0.26937	0
3.611	9.877	-19.267	0.14	-0.65709	-0.33687	0
3.615	11.764	-18.214	0.14	-0.6212	-0.40121	0
3.623	13.538	-16.977	0.14	-0.579	-0.46172	0
3.628	15.184	-15.567	0.141	-0.53092	-0.51785	0
3.632	16.683	-13.999	0.141	-0.47742	-0.56897	0
3.637	18.02	-12.286	0.142	-0.41902	-0.61458	0
3.645	19.181	-10.445	0.142	-0.35624	-0.65419	0
3.65	20.155	-8.496	0.142	-0.28976	-0.68741	0
3.657	20.932	-6.457	0.143	-0.2202	-0.71389	0
3.662	21.502	-4.347	0.143	-0.14825	-0.73334	0
3.666	21.859	-2.187	0.144	-0.07459	-0.74551	0
3.67	22	0	0.144	0	-0.75032	0
3.356	21.938	2.003	0.144	0.06831	-0.7482	0
3.361	21.693	3.995	0.145	0.13625	-0.73986	0
3.366	21.268	5.959	0.145	0.20323	-0.72536	0
3.371	20.665	7.879	0.146	0.2687	-0.70479	0
3.376	19.889	9.738	0.146	0.33211	-0.67832	0
3.382	18.946	11.521	0.146	0.39293	-0.64616	0
3.386	17.843	13.214	0.147	0.45065	-0.60854	0
3.392	16.589	14.801	0.147	0.50478	-0.56578	0
3.396	15.194	16.269	0.147	0.55487	-0.5182	0
3.401	13.67	17.606	0.148	0.60047	-0.4662	0
3.404	12.028	18.801	0.148	0.64121	-0.41021	0
3.41	10.281	19.843	0.149	0.67674	-0.35065	0
3.416	8.446	20.722	0.149	0.70674	-0.28803	0
3.422	6.535	21.432	0.149	0.73095	-0.22287	0
3.426	4.564	21.966	0.15	0.74916	-0.15567	0
3.432	2.552	22.319	0.15	0.76119	-0.08702	0
3.437	0.512	22.487	0.151	0.76694	-0.01746	0
3.442	-1.537	22.469	0.151	0.76634	0.05242	0
3.446	-3.578	22.265	0.151	0.75937	0.12204	0
3.451	-5.596	21.876	0.152	0.74608	0.19084	0
3.456	-7.571	21.304	0.152	0.72657	0.25821	0
3.461	-9.489	20.553	0.153	0.70097	0.32364	0
3.466	-11.333	19.63	0.153	0.6695	0.38653	0
3.472	-13.088	18.542	0.153	0.63238	0.44637	0
3.477	-14.739	17.297	0.154	0.58992	0.50268	0
3.479	-16.272	15.905	0.154	0.54246	0.55494	0
3.485	-17.673	14.378	0.154	0.49036	0.60275	0
3.492	-18.931	12.728	0.155	0.43407	0.64566	0
3.497	-20.036	10.967	0.155	0.37404	0.68333	0
3.504	-20.977	9.111	0.156	0.31074	0.71542	0
3.508	-21.746	7.175	0.156	0.24471	0.74165	0
3.514	-22.336	5.174	0.156	0.17647	0.7618	0
3.52	-22.743	3.126	0.157	0.10661	0.77567	0
3.525	-22.962	1.046	0.157	0.03568	0.78314	0
3.531	-22.99	-1.048	0.158	-0.03573	0.78409	0
3.536	-22.828	-3.138	0.158	-0.10701	0.77858	0
3.54	-22.477	-5.207	0.158	-0.17758	0.76658	0
3.545	-21.938	-7.239	0.159	-0.24687	0.7482	0
3.551	-21.215	-9.215	0.159	-0.31427	0.72355	0
3.555	-20.315	-11.12	0.16	-0.37925	0.69284	0
3.561	-19.243	-12.937	0.16	-0.44123	0.6563	0
3.564	-18.01	-14.652	0.16	-0.4997	0.61423	0
3.57	-16.623	-16.249	0.161	-0.55418	0.56694	0
3.576	-15.096	-17.716	0.161	-0.60419	0.51484	0
3.582	-13.439	-19.039	0.162	-0.64932	0.45833	0
3.586	-11.667	-20.207	0.162	-0.68917	0.39788	0
3.592	-9.793	-21.21	0.162	-0.72339	0.33399	0
3.597	-7.833	-22.04	0.163	-0.7517	0.26715	0
3.603	-5.804	-22.689	0.163	-0.77384	0.19793	0
3.61	-3.721	-23.152	0.164	-0.78961	0.1269	0
3.616	-1.602	-23.423	0.164	-0.79887	0.05464	0
3.622	0.535	-23.501	0.164	-0.80152	-0.01824	0
3.628	2.673	-23.384	0.165	-0.79752	-0.09117	0
3.634	4.794	-23.072	0.165	-0.78689	-0.16351	0
3.639	6.881	-22.568	0.166	-0.7697	-0.23468	0
3.644	8.916	-21.876	0.166	-0.74609	-0.30407	0
3.65	10.881	-21	0.167	-0.71623	-0.37111	0
3.654	12.762	-19.948	0.167	-0.68034	-0.43524	0
3.66	14.541	-18.728	0.167	-0.63872	-0.49591	0
3.665	16.203	-17.349	0.168	-0.59171	-0.55261	0
3.67	17.735	-15.823	0.168	-0.53965	-0.60487	0
3.676	19.124	-14.162	0.169	-0.48301	-0.65223	0
3.682	20.357	-12.379	0.169	-0.4222	-0.6943	0
3.689	21.425	-10.49	0.169	-0.35776	-0.73071	0
3.695	22.317	-8.509	0.17	-0.29019	-0.76114	0
3.702	23.026	-6.452	0.17	-0.22003	-0.78533	0
3.707	23.546	-4.336	0.171	-0.14789	-0.80305	0
3.712	23.872	-2.18	0.171	-0.07434	-0.81416	0
3.716	24	0	0.171	0	-0.81854	0
3.424	23.943	2.011	0.172	0.06857	-0.81659	0
3.429	23.716	4.011	0.172	0.1368	-0.80886	0
3.434	23.323	5.988	0.173	0.20423	-0.79546	0
3.44	22.766	7.928	0.173	0.27038	-0.77645	0
3.444	22.047	9.816	0.173	0.33477	-0.75191	0
3.451	21.172	11.639	0.174	0.39695	-0.72207	0
3.456	20.146	13.385	0.174	0.45649	-0.68708	0
3.462	18.976	15.04	0.174	0.51294	-0.64717	0
3.466	17.67	16.593	0.175	0.56592	-0.60265	0
3.469	16.238	18.034	0.175	0.61505	-0.55379	0
3.477	14.688	19.35	0.176	0.65994	-0.50092	0
3.482	13.031	20.534	0.176	0.70032	-0.44443	0
3.488	11.28	21.576	0.176	0.73588	-0.3847	0
3.493	9.445	22.469	0.177	0.76631	-0.32212	0
3.498	7.54	23.206	0.177	0.79145	-0.25715	0
3.504	5.578	23.782	0.178	0.81109	-0.19023	0
3.509	3.572	24.191	0.178	0.82504	-0.12183	0
3.515	1.537	24.432	0.178	0.83326	-0.05242	0
3.52	-0.513	24.502	0.179	0.83565	0.0175	0
3.526	-2.564	24.399	0.179	0.83213	0.08746	0
3.531	-4.602	24.125	0.18	0.8228	0.15695	0
3.536	-6.612	23.681	0.18	0.80767	0.2255	0
3.541	-8.579	23.069	0.18	0.7868	0.2926	0
3.545	-10.491	22.295	0.181	0.76038	0.3578	0
3.55	-12.333	21.362	0.181	0.72857	0.42063	0
3.554	-14.093	20.277	0.181	0.69154	0.48063	0
3.561	-15.757	19.047	0.182	0.64961	0.5374	0
3.566	-17.315	17.681	0.182	0.60302	0.59052	0
3.571	-18.753	16.187	0.183	0.55207	0.63958	0
3.577	-20.064	14.577	0.183	0.49715	0.68428	0
3.584	-21.236	12.861	0.183	0.43863	0.72427	0
3.59	-22.261	11.051	0.184	0.37688	0.75923	0
3.596	-23.133	9.159	0.184	0.31236	0.78896	0
3.602	-23.844	7.199	0.185	0.24552	0.81322	0
3.608	-24.388	5.184	0.185	0.17679	0.83178	0
3.614	-24.763	3.128	0.185	0.10669	0.84457	0
3.62	-24.965	1.046	0.186	0.03569	0.85146	0
3.625	-24.991	-1.047	0.186	-0.03572	0.85234	0
3.631	-24.843	-3.138	0.187	-0.10703	0.84728	0
3.636	-24.519	-5.212	0.187	-0.17774	0.83625	0
3.641	-24.022	-7.253	0.187	-0.24735	0.81929	0
3.647	-23.356	-9.247	0.188	-0.31538	0.79657	0
3.652	-22.524	-11.181	0.188	-0.38133	0.76821	0
3.657	-21.532	-13.04	0.189	-0.44474	0.73436	0
3.662	-20.387	-14.812	0.189	-0.50517	0.69532	0
3.668	-19.097	-16.484	0.189	-0.56218	0.6513	0
3.671	-17.669	-18.043	0.19	-0.61535	0.60259	0
3.678	-16.114	-19.479	0.19	-0.66432	0.54957	0
3.685	-14.443	-20.781	0.191	-0.70874	0.49258	0
3.691	-12.667	-21.939	0.191	-0.74824	0.43199	0
3.698	-10.798	-22.946	0.191	-0.7826	0.36826	0
3.704	-8.849	-23.795	0.192	-0.81154	0.3018	0
3.711	-6.834	-24.477	0.192	-0.8348	0.23307	0
